epoch,step,test_loss,train_loss,val_loss
0,124,,,59587.55078125
0,124,,94094.3046875,
1,249,,,22690.19921875
1,249,,38924.21484375,
2,374,,,7106.68896484375
2,374,,13718.7138671875,
3,499,,,1782.389404296875
3,499,,3943.774658203125,
4,624,,,352.15008544921875
4,624,,905.0816040039062,
5,749,,,54.2661247253418
5,749,,163.6793975830078,
6,874,,,6.468033313751221
6,874,,23.12236976623535,
7,999,,,0.5903883576393127
7,999,,2.529721736907959,
8,1124,,,0.040787018835544586
8,1124,,0.21208453178405762,
9,1249,,,0.002141677075996995
9,1249,,0.013475168496370316,
10,1374,,,0.00011708166130119935
10,1374,,0.0006745943101122975,
11,1499,,,3.434800237300806e-05
11,1499,,6.021164881531149e-05,
12,1624,,,3.205740358680487e-05
12,1624,,3.87347063224297e-05,
13,1749,,,3.2056406780611724e-05
13,1749,,3.822326834779233e-05,
14,1874,,,3.192619260516949e-05
14,1874,,3.8213827792787924e-05,
15,1999,,,3.183013177476823e-05
15,1999,,3.813571674982086e-05,
16,2124,,,3.183013177476823e-05
16,2124,,3.811049464275129e-05,
17,2249,,,3.183013177476823e-05
17,2249,,3.811049464275129e-05,
18,2374,,,3.1720912375021726e-05
18,2374,,3.813423973042518e-05,
19,2499,,,3.1735362426843494e-05
19,2499,,3.817073957179673e-05,
20,2624,,,3.183013177476823e-05
20,2624,,3.813851799350232e-05,
21,2749,,,3.171492789988406e-05
21,2749,,3.822901635430753e-05,
22,2874,,,3.172306969645433e-05
22,2874,,3.8182242860784754e-05,
23,2999,,,3.171424032188952e-05
23,2999,,3.822814323939383e-05,
24,3124,,,3.198866397724487e-05
24,3124,,3.8183166907401755e-05,
25,3249,,,3.173865843564272e-05
25,3249,,3.811909118667245e-05,
26,3374,,,3.171020216541365e-05
26,3374,,3.830538844340481e-05,
27,3499,,,3.175071833538823e-05
27,3499,,3.830834248219617e-05,
28,3624,,,3.193293377989903e-05
28,3624,,3.8294347177725285e-05,
29,3749,,,3.171492789988406e-05
29,3749,,3.826741885859519e-05,
30,3874,,,3.172306969645433e-05
30,3874,,3.814790034084581e-05,
31,3999,,,3.1875526474323124e-05
31,3999,,3.826550528174266e-05,
32,4124,,,3.1804222089704126e-05
32,4124,,3.822810322162695e-05,
33,4249,,,3.1904910429148003e-05
33,4249,,3.8247839256655425e-05,
34,4374,,,3.19462051265873e-05
34,4374,,3.823442239081487e-05,
35,4499,,,3.2401891076005995e-05
35,4499,,3.844246384687722e-05,
36,4624,,,3.21300612995401e-05
36,4624,,3.8129015592858195e-05,
37,4625,,,3.910121085937135e-05
37,4625,3.7647358112735674e-05,,
